  Dados detalhados das AIH - por local internação - Pernambuco
Valor aprovado por Procedimento e Ano/mês atendimento
Período:Jan/2008-Mar/2021
"Procedimento";"1995/Ago";"1999/Ago";"2000/Jan";"2000/Set";"2001/Jan";"2002/Mar";"2003/Jan";"2005/Mai";"2006/Set";"2006/Dez";"2007/Jan";"2007/Fev";"2007/Abr";"2007/Jun";"2007/Jul";"2007/Ago";"2007/Set";"2007/Out";"2007/Nov";"2007/Dez";"2008/Jan";"2008/Fev";"2008/Mar";"2008/Abr";"2008/Mai";"2008/Jun";"2008/Jul";"2008/Ago";"2008/Set";"2008/Out";"2008/Nov";"2008/Dez";"2009/Jan";"2009/Fev";"2009/Mar";"2009/Abr";"2009/Mai";"2009/Jun";"2009/Jul";"2009/Ago";"2009/Set";"2009/Out";"2009/Nov";"2009/Dez";"2010/Jan";"2010/Fev";"2010/Mar";"2010/Abr";"2010/Mai";"2010/Jun";"2010/Jul";"2010/Ago";"2010/Set";"2010/Out";"2010/Nov";"2010/Dez";"2011/Jan";"2011/Fev";"2011/Mar";"2011/Abr";"2011/Mai";"2011/Jun";"2011/Jul";"2011/Ago";"2011/Set";"2011/Out";"2011/Nov";"2011/Dez";"2012/Jan";"2012/Fev";"2012/Mar";"2012/Abr";"2012/Mai";"2012/Jun";"2012/Jul";"2012/Ago";"2012/Set";"2012/Out";"2012/Nov";"2012/Dez";"2013/Jan";"2013/Fev";"2013/Mar";"2013/Abr";"2013/Mai";"2013/Jun";"2013/Jul";"2013/Ago";"2013/Set";"2013/Out";"2013/Nov";"2013/Dez";"2014/Jan";"2014/Fev";"2014/Mar";"2014/Abr";"2014/Mai";"2014/Jun";"2014/Jul";"2014/Ago";"2014/Set";"2014/Out";"2014/Nov";"2014/Dez";"2015/Jan";"2015/Fev";"2015/Mar";"2015/Abr";"2015/Mai";"2015/Jun";"2015/Jul";"2015/Ago";"2015/Set";"2015/Out";"2015/Nov";"2015/Dez";"2016/Jan";"2016/Fev";"2016/Mar";"2016/Abr";"2016/Mai";"2016/Jun";"2016/Jul";"2016/Ago";"2016/Set";"2016/Out";"2016/Nov";"2016/Dez";"2017/Jan";"2017/Fev";"2017/Mar";"2017/Abr";"2017/Mai";"2017/Jun";"2017/Jul";"2017/Ago";"2017/Set";"2017/Out";"2017/Nov";"2017/Dez";"2018/Jan";"2018/Fev";"2018/Mar";"2018/Abr";"2018/Mai";"2018/Jun";"2018/Jul";"2018/Ago";"2018/Set";"2018/Out";"2018/Nov";"2018/Dez";"2019/Jan";"2019/Fev";"2019/Mar";"2019/Abr";"2019/Mai";"2019/Jun";"2019/Jul";"2019/Ago";"2019/Set";"2019/Out";"2019/Nov";"2019/Dez";"2020/Jan";"2020/Fev";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"2020/Set";"2020/Out";"2020/Nov";"2020/Dez";"2021/Jan";"2021/Fev";"2021/Mar";"Total"
"0408060190 OSTEOTOMIA DE OSSOS LONGOS EXCETO DA MÃO E DO PÉ";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;645,68;1291,36;9024,45;13283,18;15111,75;25798,67;23926,72;26774,51;21060,12;24202,64;27167,31;13255,82;16709,38;20120,98;11620,51;20048,00;15382,04;18297,70;21642,45;13624,84;17284,43;25121,72;26425,57;19661,85;16046,48;16459,28;13707,63;22960,51;16444,38;20474,55;17593,02;26675,39;11716,15;13654,24;17868,07;9999,16;18600,34;13627,12;11467,12;11696,27;19298,80;17944,70;16853,38;20755,59;19332,20;13979,03;16225,46;10129,82;14015,63;13028,93;11047,82;9292,24;7610,83;17926,72;14352,21;13505,79;16849,59;16193,30;20546,01;19127,52;20660,22;29406,55;20445,36;24055,84;27845,95;37804,85;30352,05;26662,90;26182,24;26512,28;26404,97;29398,70;30509,97;21765,29;20506,20;31163,53;37901,00;31205,68;26330,47;35049,02;31938,17;37048,99;31930,03;26270,02;44142,62;33286,22;19190,54;34381,70;25144,31;28550,98;35923,75;41306,79;35952,88;43750,65;40980,50;23227,17;41031,42;28206,09;26960,61;41782,27;29931,71;46486,19;36820,46;35643,27;38106,49;37038,58;51285,62;45997,33;47445,90;49881,91;42566,85;44186,56;36013,62;46530,02;41750,26;60788,86;60165,07;71610,46;70266,72;67968,52;88091,26;77977,30;79333,59;86956,57;71452,97;106584,51;88007,06;89698,05;62283,46;82361,91;90712,70;97574,36;88699,52;90073,36;78371,23;119474,22;101848,97;92601,58;94883,89;110732,91;102319,59;120833,12;109331,57;102961,24;113800,46;99423,36;93848,90;103120,16;98203,02;93872,22;60237,27;64888,82;63223,64;82335,14;100578,21;95904,94;104985,25;113454,30;125592,87;94602,84;77588,99;59538,59;7064504,06
"0408060204 REINSERÇÃO MUSCULAR";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;203,29;163,42;-;-;-;-;304,93;-;-;-;-;395,82;187,07;-;-;-;-;177,93;-;-;-;285,87;367,03;-;203,29;388,16;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;358,43;298,65;274,70;-;-;-;194,81;-;-;-;-;278,46;-;872,24;-;173,54;-;-;166,24;159,66;527,97;485,35;155,03;155,12;400,92;179,73;357,51;180,67;-;179,73;-;-;-;-;-;378,89;-;174,92;752,96;603,39;503,71;175,84;-;187,36;-;-;-;-;-;314,20;-;-;-;-;186,74;196,73;-;-;312,50;-;-;-;168,40;-;-;385,90;-;-;-;197,77;-;-;193,79;325,12;209,74;-;-;153,43;-;203,29;360,65;-;-;204,48;551,57;-;-;-;-;-;14816,95
"0408060212 RESSECÇÃO DE CISTO SINOVIAL";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;234,35;182,98;-;-;280,41;835,29;320,21;417,85;1546,64;654,25;1006,38;853,62;731,92;974,80;1006,39;663,30;365,96;731,92;754,44;663,30;388,83;365,96;888,80;573,67;967,66;1373,74;711,18;379,15;837,37;444,69;1084,92;1214,23;1076,42;585,36;950,03;854,09;673,81;982,05;359,58;182,98;287,66;999,51;836,60;379,15;666,81;901,64;620,36;1090,07;464,26;633,55;921,96;562,13;248,28;797,22;803,35;449,71;1090,14;493,13;729,36;358,22;575,32;913,58;894,17;263,69;385,65;476,09;548,94;522,75;1125,20;626,78;695,99;890,67;737,37;358,56;640,43;457,45;520,75;457,45;817,03;914,90;724,18;1006,39;921,71;541,20;1381,67;1910,53;1015,72;370,66;470,64;457,45;1294,05;640,43;900,12;983,16;1294,05;640,43;536,40;836,60;1002,41;457,45;365,96;365,96;993,52;1163,76;731,92;548,94;721,40;457,45;634,05;628,39;893,91;996,94;274,47;457,45;1353,39;182,98;182,98;483,96;770,00;516,55;928,80;393,76;1182,11;1280,86;846,25;731,92;992,27;914,90;541,32;877,27;428,88;955,22;993,29;365,96;911,04;994,78;535,28;640,43;589,81;830,28;515,01;274,47;914,90;551,76;629,91;794,88;461,24;182,98;562,13;365,96;182,98;91,49;-;-;-;91,49;262,43;352,17;410,17;176,60;499,39;306,15;170,94;107115,12
"0408060239 RESSECÇÃO DE TUMOR E RECONSTRUÇÃO C/ RETALHO MICROCIRÚRGICO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2263,54;-;-;4290,58;-;2263,54;-;-;-;-;4527,08;-;-;4527,08;-;4457,72;-;2263,54;-;-;2263,54;-;-;2263,54;2325,46;-;-;-;-;2263,54;-;-;-;-;-;-;-;-;-;-;-;-;-;4527,08;2086,27;-;-;-;2263,54;2093,70;-;-;2263,54;-;-;-;-;-;-;4344,22;2088,11;2263,54;2120,59;-;-;-;-;2263,54;-;2263,54;-;-;2577,36;-;-;-;-;-;2664,75;-;-;-;-;2803,31;2803,31;4527,08;-;5481,24;6718,80;4368,73;5585,22;8871,44;-;2208,09;11032,93;4388,23;6448,91;2208,09;2130,68;6735,17;-;4434,63;11020,94;-;8883,36;4448,66;2216,59;-;2216,59;2150,06;2196,65;2079,99;10952,55;2079,99;2169,71;2130,68;4249,70;-;-;-;-;-;-;8764,88;5047,86;4510,35;-;-;-;-;-;223393,36
"0408060247 RESSECÇÃO DE TUMOR E RECONSTRUÇÃO C/ RETALHO NÃO MICROCIRÚRGICO (EXCETO MÃO E PÉ)";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1089,98;-;-;-;-;-;-;-;1089,98;-;-;-;-;-;1083,75;-;-;2179,96;-;-;-;3269,94;-;-;1069,82;-;1089,98;-;-;-;-;-;-;-;-;-;-;-;-;-;1089,98;1089,98;-;-;-;-;-;-;-;-;-;-;-;1353,13;-;-;-;-;-;1344,48;1089,98;-;-;1089,98;-;2179,96;-;-;-;1536,42;-;-;-;-;1102,46;-;-;-;-;-;-;1089,98;-;-;-;-;1089,98;-;-;1299,76;-;-;-;-;3580,52;1352,10;-;1094,49;-;-;-;-;-;-;-;-;-;-;-;-;-;1089,98;33346,59
"0408060255 RESSECÇÃO DE TUMOR E RECONSTRUÇÃO C/ TRANSPORTE ÓSSEO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1093,85;1089,98;-;-;-;1089,98;-;-;-;-;-;-;-;-;2187,70;-;-;-;-;2179,96;-;-;-;-;-;1132,55;-;1089,98;1089,98;-;-;-;-;-;1101,59;-;-;1011,47;-;-;-;1089,98;-;-;-;-;-;-;1097,72;-;-;-;-;-;1089,88;-;-;-;-;-;-;-;-;-;-;-;-;1089,98;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1114,18;1039,52;-;1645,18;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2179,96;1089,98;6533,44;3261,66;1089,98;1089,98;4353,48;10796,20;3269,94;5449,90;14169,74;5444,29;10896,90;2179,96;5469,74;6481,93;7513,49;8670,29;9697,75;5443,46;3240,96;10874,47;16175,20;7558,86;5367,99;-;-;1074,11;2179,96;2179,96;3229,22;5386,86;4342,26;3223,16;3261,66;4561,92;2162,63;211134,77
"0408060263 RESSECÇÃO DE TUMOR ÓSSEO C/ SUBSTITUIÇÃO (ENDOPRÓTESE)";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10164,03;5122,48;5122,48;5168,92;2561,24;4943,48;5122,48;-;5002,57;5122,48;7706,94;-;2561,24;-;2561,24;-;-;-;-;-;-;-;-;2561,24;-;-;7773,73;-;2576,72;2561,24;-;-;-;5165,05;5122,48;-;-;5122,48;-;-;-;-;-;-;-;-;-;-;5037,46;-;-;-;-;-;-;-;2079,30;-;2498,71;-;-;5122,48;-;-;-;-;-;-;3711,58;5122,48;-;-;-;-;-;-;-;2561,24;-;2561,24;-;-;-;2561,24;-;2561,24;-;-;-;2561,24;-;2538,04;-;-;2561,24;-;-;-;-;-;-;-;-;-;-;-;-;-;3084,69;-;-;-;-;-;3599,75;-;-;-;-;2561,24;-;-;2561,24;5122,48;2561,24;7683,72;-;5122,48;-;2561,24;-;-;-;2561,24;-;-;-;3179,49;-;3852,33;-;-;-;3834,60;-;5122,48;-;-;-;-;-;-;-;-;-;-;-;186928,23
"0408060271 RESSECÇÃO DE TUMOR ÓSSEO E RECONSTRUÇÃO C/ ENXERTO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2179,96;1089,98;-;2179,96;2179,96;2159,80;1144,41;1089,98;-;1069,82;1089,98;-;-;-;1089,98;-;2249,07;1089,98;-;-;1109,33;-;-;1089,98;-;1353,13;-;-;1089,98;-;1089,98;-;-;1077,15;-;1089,98;1089,98;-;-;2179,96;-;1089,98;-;-;-;-;-;-;-;-;-;-;1069,82;-;-;-;3249,78;2179,96;2174,89;6519,72;6528,60;4359,92;6539,88;4623,94;2198,65;1057,23;1089,98;3269,94;3293,58;3269,94;2396,18;2179,96;-;1089,98;2179,96;2179,96;-;1089,98;1089,98;1089,98;-;2159,80;3238,91;-;2179,96;1089,98;6797,96;2190,11;1089,98;1089,98;6590,45;1353,13;-;3249,78;3776,08;-;-;1144,42;4359,92;1144,42;1144,42;3826,93;3442,03;-;2240,05;2352,05;4408,55;-;1084,17;2791,51;1089,98;-;-;-;1089,98;3269,94;6539,88;1089,98;1089,98;-;3269,94;1089,98;1089,98;2159,80;4317,39;100,91;1698,05;1089,98;2179,96;1102,46;3992,82;-;1089,98;1151,22;2191,11;3269,94;904,83;1089,98;-;-;1395,51;-;-;-;-;-;-;-;2637,14;-;1337,02;-;1089,98;-;-;210756,45
"0408060280 RESSECÇÃO DE TUMOR ÓSSEO E RECONSTRUÇÃO C/ RETALHO NÃO MICROCIRÚRGICO (APENAS MÃO E PÉ)";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1362,46;-;-;1144,16;-;1089,98;-;-;-;-;1089,98;-;-;-;-;-;-;-;-;-;-;-;-;-;1075,03;-;895,51;-;1089,98;-;-;2179,96;895,51;3076,64;1089,98;-;2012,55;2222,18;1085,62;-;-;-;-;-;1141,94;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1107,05;1113,13;1353,13;-;1107,05;2214,10;-;1141,94;1089,98;-;-;-;-;-;1089,98;-;-;2170,16;-;-;4644,38;4530,48;2272,72;4614,49;2206,50;-;-;3321,15;5510,58;7648,45;4394,06;3260,57;5492,62;3031,99;4429,13;3128,63;5519,81;-;2210,31;1103,26;1105,02;-;-;-;1353,13;2206,52;2019,82;940,79;-;1112,19;-;1075,16;-;110969,76
"0408060298 RESSECÇÃO DE TUMOR ÓSSEO E RECONSTRUÇÃO POR DESLIZAMENTO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;409,88;-;-;503,15;313,13;-;-;-;271,60;288,51;-;863,30;626,26;-;1509,68;1572,48;939,39;1011,12;630,13;1295,09;-;1008,16;1244,11;-;1528,80;1252,52;1253,56;1146,77;1252,52;313,13;2257,70;1575,10;1298,60;294,83;625,98;1479,46;2825,91;1542,96;313,13;324,74;628,07;1921,35;626,26;313,13;626,26;287,84;939,39;1228,06;938,10;1539,09;2208,95;947,13;329,72;-;943,26;-;-;340,22;-;-;-;-;704,01;-;313,13;313,13;-;313,13;-;-;-;-;-;313,13;-;-;313,13;-;313,13;-;-;-;-;-;-;-;-;-;-;-;-;-;313,13;-;-;-;-;-;626,26;-;-;-;1565,65;-;386,57;-;378,03;-;313,13;378,03;-;297,54;-;-;-;-;-;-;313,13;-;-;626,26;-;-;-;-;-;-;378,03;-;-;-;-;313,13;-;-;-;302,50;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;54362,71
"0408060301 RESSECÇÃO MUSCULAR";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;254,10;-;-;406,58;203,29;-;-;-;410,45;203,29;406,58;410,45;-;203,29;433,67;-;472,37;-;-;-;-;-;-;406,58;-;203,29;-;-;-;-;609,87;-;457,39;203,29;-;406,58;212,77;203,29;203,29;203,29;203,29;180,30;203,29;203,29;406,58;203,29;-;-;-;-;203,29;-;203,29;203,29;-;-;-;-;198,09;178,34;-;-;-;-;186,74;-;245,90;-;-;-;-;-;-;-;-;-;-;-;196,73;281,03;-;-;-;-;-;149,88;-;203,29;-;-;-;-;-;-;203,29;-;-;-;-;-;208,74;-;-;-;-;-;216,25;-;203,29;-;203,29;-;-;203,29;-;-;-;203,29;249,34;-;-;203,29;-;-;207,93;-;-;-;186,28;-;-;-;-;196,73;-;-;312,50;-;616,65;500,84;406,58;-;534,43;-;619,49;295,44;-;-;-;-;-;-;-;-;149,62;-;-;203,29;365,38;-;16652,85
"0408060310 RESSECÇÃO SIMPLES DE TUMOR ÓSSEO / DE PARTES MOLES";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1104,09;720,97;3026,75;6160,45;9490,91;11106,59;9798,53;14213,68;7937,35;11377,99;16499,51;11371,15;9372,82;9963,99;6251,38;8049,65;6161,85;9826,35;9997,17;8779,21;9837,58;10134,15;8245,46;11603,44;10235,31;7975,99;11267,90;9599,95;10323,45;14371,63;9403,76;15401,61;15113,07;16108,50;11409,61;15367,28;15898,32;12869,16;12127,49;13183,13;12583,39;11827,43;10279,44;14233,81;9400,95;13553,23;17609,67;8686,52;9543,56;9341,64;7433,40;9691,65;6708,25;11401,40;7958,39;10085,05;7598,04;7322,18;9799,72;11706,72;7466,62;4387,04;4947,58;6103,79;6237,60;5791,14;8215,51;8919,90;4475,28;6306,20;11193,47;13911,46;12133,21;6352,79;9201,45;7721,21;10410,08;10189,67;9687,58;6029,80;8001,93;8722,16;9206,97;7089,06;11404,25;9741,42;4673,86;6236,06;5530,49;7893,06;10066,79;6288,94;8664,32;9966,99;6499,07;7438,89;6436,18;4446,09;4303,09;8897,31;7546,98;8458,11;11162,18;10893,53;8335,71;6508,88;10784,82;10989,99;5709,78;10647,68;6427,55;9803,26;10158,49;11184,63;9603,96;22544,43;13257,76;14608,06;13500,54;10148,55;14135,95;10212,51;15873,06;14028,20;11164,94;9362,26;10875,23;9477,82;8696,64;7502,75;10389,64;7081,88;12638,00;7655,94;5889,85;11542,78;9399,15;12678,92;10420,14;14791,25;10978,87;15224,85;14723,71;11890,35;11519,47;9924,10;9084,99;9817,82;9274,48;7769,10;8309,30;1448,03;15817,06;2707,63;3735,06;27695,59;32965,65;31974,09;34232,94;36261,67;25161,28;5989,36;1692237,13
"0408060328 RETIRADA DE CORPO ESTRANHO INTRA-ARTICULAR";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;514,55;278,14;966,52;278,14;724,81;652,85;139,07;305,18;686,87;903,95;728,80;695,35;347,67;903,95;556,28;764,87;647,41;347,67;139,07;541,01;773,36;574,47;803,89;765,10;525,75;208,60;278,14;525,75;1081,66;1348,55;690,55;417,21;749,62;915,54;1131,91;382,43;815,67;702,72;1205,71;1531,42;1915,32;1124,88;1141,53;720,60;873,85;591,80;256,01;716,87;394,12;764,88;219,92;600,27;1173,30;665,26;1919,37;1063,82;900,70;264,43;1151,24;534,15;251,88;713,86;2072,66;234,47;702,17;980,21;1502,39;1320,80;385,64;1144,34;647,76;1149,10;751,96;523,37;843,51;1267,24;928,88;583,75;1477,47;901,99;719,59;1547,04;1172,28;1082,69;575,85;906,46;865,36;685,06;777,63;1142,65;740,52;1381,35;1160,35;1271,36;2579,99;1439,97;995,79;484,57;1240,51;323,70;1508,02;1026,61;979,99;615,53;1251,57;822,61;1889,05;576,30;1594,09;1465,08;455,00;739,00;1236,91;1343,59;676,03;847,66;1512,24;988,22;1680,40;1415,82;1450,06;1542,80;1429,15;1601,26;1692,81;1259,47;995,21;1113,38;128,79;1359,02;1507,30;1958,16;1669,10;1619,53;829,43;681,05;2054,71;1133,62;1107,87;1303,17;949,01;777,74;1126,09;1330,57;1544,03;1361,12;976,07;797,90;983,76;499,55;295,56;387,96;277,69;478,29;1395,92;556,36;698,22;833,13;1323,94;744,82;583,71;149999,75
"0408060336 RETIRADA DE CORPO ESTRANHO INTRA-ÓSSEO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;607,94;350,82;709,64;691,81;481,11;321,29;350,82;631,48;140,33;631,48;561,32;-;140,33;350,82;847,78;140,33;140,33;633,96;140,33;-;335,35;1098,24;631,48;744,42;616,01;627,62;195,02;475,68;1205,23;238,32;616,01;390,04;1335,07;453,53;140,33;500,53;-;670,70;405,51;480,38;487,63;578,73;567,38;847,47;1002,64;909,11;640,37;1445,51;887,85;634,91;560,69;627,71;969,37;800,60;1541,48;703,93;1252,38;1338,44;963,06;1039,09;-;965,38;925,56;140,33;1340,78;1390,01;855,29;655,47;1087,41;162,46;390,04;611,51;855,62;302,79;319,68;530,37;272,16;490,84;586,60;-;867,53;343,49;-;542,49;280,28;343,64;577,18;1451,43;1306,20;1455,02;1070,01;831,98;-;622,74;604,45;605,20;819,87;751,59;1057,00;-;1037,68;850,31;760,08;1581,90;1569,57;874,57;307,24;561,32;1481,17;1436,75;580,11;1033,92;620,49;155,29;489,37;512,87;295,05;666,55;872,03;1548,75;826,11;280,66;225,52;478,23;591,50;660,07;802,14;731,38;280,66;327,67;296,73;527,12;994,66;554,40;869,70;867,68;829,52;955,33;489,42;869,29;195,02;787,65;1154,29;539,45;502,51;286,59;474,95;521,17;384,88;315,81;515,99;-;348,80;992,66;166,23;335,29;195,02;455,33;546,95;672,07;101325,61
"0408060344 RETIRADA DE ESPAÇADORES / OUTROS MATERIAIS";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;132,65;189,58;151,67;-;322,69;-;-;151,67;303,34;307,21;128,12;132,65;379,16;530,83;279,79;110,85;432,91;259,65;151,67;831,88;635,41;437,69;400,79;327,26;1160,03;337,63;327,26;175,59;-;-;356,73;595,54;-;151,67;466,33;617,58;579,96;721,02;151,67;262,95;1171,09;833,02;478,93;910,02;866,96;933,94;423,38;492,92;327,26;458,54;601,49;455,01;151,67;178,76;151,67;485,52;-;138,98;1451,42;465,26;272,93;278,46;654,83;979,48;1027,03;937,47;834,92;786,12;929,22;789,59;1362,98;494,07;994,37;1013,72;1394,66;1272,24;429,62;1287,82;854,73;544,67;2267,28;1652,72;1904,85;234,85;1557,72;1435,56;1936,55;1098,28;1604,39;915,62;979,98;314,88;845,63;849,37;531,78;1752,58;1172,22;1507,71;1132,96;2055,19;140,53;871,90;970,54;2447,48;579,81;714,52;917,72;1084,66;603,01;-;148,12;140,53;666,34;1062,75;1054,80;1363,02;1518,01;1206,35;1463,32;810,70;1335,92;947,69;855,14;1061,62;535,48;249,31;794,78;656,72;903,61;554,85;854,30;371,00;321,28;584,39;497,90;814,73;861,79;468,32;378,12;1152,06;502,04;478,23;544,23;571,35;604,14;130,48;706,67;108,88;244,77;454,52;375,39;491,62;894,02;640,37;262,95;263,07;865,49;584,09;620,09;107671,84
"0408060352 RETIRADA DE FIO OU PINO INTRA-ÓSSEO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;151,66;452,33;4568,80;8818,35;5158,80;7509,54;7482,03;8863,07;6228,50;10351,27;10488,48;10598,34;13630,86;10630,10;8905,22;8799,32;10171,02;16573,20;10927,38;7058,71;10329,96;8673,63;12443,46;8227,29;6881,20;8567,25;7424,37;7806,22;9045,10;11023,73;11744,20;7423,20;7422,54;12294,12;16243,12;12661,33;9704,14;14784,72;15220,51;19362,74;20790,13;18186,32;21613,32;16207,82;13253,78;12127,80;13560,03;12571,88;12265,81;12395,25;10442,62;7795,15;6598,42;11129,27;10268,25;10668,93;6886,33;11683,68;13096,54;10204,70;12888,87;13150,25;11680,74;10205,84;10369,94;11242,03;12607,46;11003,46;10000,33;14684,62;13836,36;11154,80;11076,65;11951,34;7093,54;11647,68;12912,38;12054,07;13186,07;13014,55;10118,93;12288,38;9776,33;11393,60;13287,28;11165,96;12145,63;10125,04;9012,77;13013,67;11412,62;18408,99;12890,23;18752,33;10980,77;9973,94;13246,21;12281,90;9710,99;12679,02;11169,06;13715,49;12326,27;15031,61;14707,73;18892,24;20083,19;14985,97;14552,49;14951,88;16631,17;10044,66;9231,39;12735,27;13604,67;14390,67;11141,63;13634,81;21625,44;14433,69;14814,84;12327,92;12331,34;14435,12;12568,49;13677,97;14370,49;12780,87;16035,44;12719,86;20164,71;11103,13;11521,34;7575,34;12184,74;10058,75;13342,15;14328,43;12292,13;14165,50;12086,77;11132,02;14509,33;9698,44;11381,84;19335,61;19525,90;13590,84;9174,18;5347,91;6892,79;5941,87;4948,66;7144,28;11264,28;9096,59;5913,36;7560,43;5347,61;7612,53;5237,36;3975,13;1872227,03
"0408060360 RETIRADA DE FIXADOR EXTERNO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;726,82;1061,69;1173,02;2495,59;2162,92;3830,55;2279,16;3064,27;2371,82;2607,90;2257,24;4216,33;2755,09;3066,64;2916,58;2836,84;3918,67;3271,44;2483,59;2692,27;3699,41;2744,58;3878,95;3267,94;4245,24;2331,28;5369,44;3383,12;3255,42;4733,98;5398,02;4886,63;5719,06;6583,62;7506,65;7468,34;8921,29;9026,55;9274,41;10831,62;11778,42;8674,43;9200,12;9693,27;8501,30;6579,84;8550,55;12469,95;12024,90;12535,97;11283,97;10829,29;9882,72;11305,52;9508,92;7033,77;8782,70;10348,96;8630,17;12717,02;10274,64;10642,87;9263,43;8490,12;8935,73;9725,88;10107,42;9111,95;12409,47;10451,30;12647,41;15722,90;14083,51;12388,77;12179,03;10450,95;15002,07;14286,19;16918,02;12723,60;16719,97;13229,39;12979,26;12547,41;17596,46;19402,79;19304,15;15781,05;18500,16;17663,55;16706,14;10794,65;15486,47;16852,91;19401,93;16698,19;12184,85;12010,34;14121,17;13560,61;15837,03;13829,01;15076,10;21907,73;24361,18;18500,00;17909,45;17947,72;17973,98;18779,19;17600,74;13689,97;18260,10;12721,57;22653,20;19299,58;20681,10;18163,98;20763,87;23023,13;24662,43;21491,77;21853,15;17315,89;22103,78;19373,46;16399,46;16306,16;17813,73;22911,50;17589,43;21129,03;21630,62;16852,30;15992,71;17887,03;16401,26;15960,00;21104,94;12795,68;16177,27;17295,90;17381,09;14842,16;20280,17;15074,43;12222,34;13814,06;14886,26;8503,30;12267,80;10362,30;12730,96;13699,52;13168,53;11636,53;11764,01;12059,05;8508,46;8641,39;3028,24;1927299,21
"0408060379 RETIRADA DE PLACA E/OU PARAFUSOS";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;225,16;1407,25;2332,23;4358,19;6564,64;6357,33;10067,18;7771,95;3710,91;6479,59;11343,80;6087,81;8300,27;7786,59;3310,71;7107,65;6495,12;7998,13;4503,10;5523,14;5390,55;4774,62;7995,97;6645,60;7515,83;7104,75;5699,03;6224,00;7665,68;12533,80;9318,04;10494,32;10973,51;11055,45;17138,62;13975,85;12180,97;10542,01;9124,87;9372,40;13295,56;11936,28;9976,95;10449,52;11060,33;14260,94;18749,63;9846,62;11475,41;11828,56;8742,10;9328,02;9259,77;15809,81;12083,53;16306,97;15073,87;13198,98;15272,17;13456,66;11902,45;13346,47;10541,32;13703,84;9607,38;12437,36;17092,84;16130,98;13592,70;16261,86;18313,06;13828,19;15247,32;12331,88;10577,35;15186,37;14028,31;19831,03;19269,46;19999,98;18448,70;20033,27;25469,33;24321,89;26937,83;24096,23;15185,57;21876,78;19411,88;23118,96;22539,99;24300,20;19896,29;26741,57;18841,63;18302,17;19930,27;16544,99;13269,13;18371,30;20280,79;23418,13;22681,80;25137,35;22130,19;25372,56;25882,12;20197,29;22605,41;19950,24;16385,47;20571,60;18719,40;25043,82;19737,09;21482,08;21520,84;22483,78;30367,28;18506,62;18296,33;23205,71;19867,50;22259,25;20000,81;24403,13;26829,73;24362,54;21269,15;22088,49;22613,50;20471,18;23979,23;21631,46;17790,45;19269,94;22272,51;24232,52;25279,47;22933,89;17369,83;22538,85;22747,96;29995,71;26945,75;17323,16;17353,20;29354,47;19474,87;18133,09;6857,39;9153,64;13937,52;17096,87;15232,34;16023,49;17306,01;14551,21;11181,40;10487,76;13580,92;7003,14;2524915,66
